property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_usd_per_m2
house,Bs.As. G.B.A. Zona Sur,Glew,-34.8830270266,-58.3714983753,135.0,518.5185185185185
house,Bs.As. G.B.A. Zona Oeste,Villa Luzuriaga,-34.6639602,-58.59414810000001,120.0,1000.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.6538838,-58.6151787,30.0,2133.333333333333
house,Bs.As. G.B.A. Zona Sur,Glew,-34.8961875479,-58.3874315434,560.0,803.5714285714287
apartment,Bs.As. G.B.A. Zona Oeste,Villa Luzuriaga,-34.6656001,-58.5745486,45.0,1666.666666666667
house,Bs.As. G.B.A. Zona Oeste,Merlo,-34.689380799999995,-58.75099350000001,350.0,2428.5714285714284
house,Bs.As. G.B.A. Zona Oeste,Hurlingham,-34.6247751,-58.6402034,280.0,428.57142857142856
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6374352296,-58.6994395708,77.0,1038.9610389610389
house,Bs.As. G.B.A. Zona Sur,Tolosa,-34.8894169583,-57.965426253100006,320.0,406.25
apartment,Bs.As. G.B.A. Zona Sur,Longchamps,-34.8685496,-58.3776888,60.0,8333.333333333334
house,Bs.As. G.B.A. Zona Sur,Presidente Perón,-34.9212587,-58.3791022,400.0,155.0
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,-34.577168,-58.538654,60.0,1250.0
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,-34.577168,-58.538654,42.0,1785.7142857142858
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,-34.577168,-58.538654,50.0,1300.0
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.658257300500004,-58.672549874,200.0,600.0
apartment,Capital Federal,Flores,-34.6266768,-58.4668507,95.0,1347.3684210526314
store,Capital Federal,Belgrano,-34.559616814,-58.461579714799996,21.0,4714.285714285715
house,Capital Federal,Recoleta,-34.5987169,-58.394533900000006,72.0,2916.666666666666
apartment,Capital Federal,Villa Crespo,-34.6017157,-58.447674600000006,42.0,1785.7142857142858
apartment,Capital Federal,Parque Patricios,-34.6387627,-58.4115101,45.0,1355.5555555555557
house,Bs.As. G.B.A. Zona Oeste,Castelar,-34.6551497,-58.6528315,450.0,622.2222222222222
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6347339,-58.6669309,198.0,555.5555555555555
house,Capital Federal,Versalles,-34.6272368,-58.5232261,68.0,1691.1764705882354
house,Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,-34.523667700000004,-58.6820622,136.0,455.8823529411765
house,Capital Federal,Flores,-34.6354328,-58.4629566,140.0,1178.5714285714287
apartment,Río Negro,Viedma,-40.8082812,-62.9989587,62.0,1370.967741935484
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.674864466799995,-58.676541001000004,400.0,250.0
house,Capital Federal,Parque Avellaneda,-34.638833,-58.47401120000001,161.0,1242.2360248447205
house,Santa Fe,Rosario,-32.9874753,-60.64024670000001,100.0,900.0
house,Santa Fe,Funes,-32.912701500000004,-60.852296900000006,350.0,285.7142857142857
house,Santa Fe,Rosario,-32.8483117,-60.7922941,135.0,1296.2962962962965
PH,Capital Federal,Almagro,-34.6192711,-58.42529989999999,140.0,1100.0
apartment,Capital Federal,Caballito,-34.577168,-58.538654,136.0,1683.8235294117646
house,Capital Federal,Palermo,-34.5897664,-58.40437289999999,137.0,1824.8175182481752
apartment,Bs.As. G.B.A. Zona Oeste,San Justo,-34.6780212,-58.5644971,60.0,2383.333333333333
house,Buenos Aires Costa Atlántica,Santa Teresita,-36.5401667,-56.6952282,50.0,800.0
house,Bs.As. G.B.A. Zona Sur,Glew,-34.895337525100004,-58.3861943487,250.0,260.0
apartment,Bs.As. G.B.A. Zona Oeste,Villa Luzuriaga,-34.6661166,-58.5915249,82.0,670.7317073170733
apartment,Capital Federal,Saavedra,-34.556005799999994,-58.4779032,90.0,1755.5555555555554
apartment,Bs.As. G.B.A. Zona Norte,Olivos,-34.5247477,-58.4831752,47.0,1893.617021276596
apartment,Bs.As. G.B.A. Zona Sur,Glew,-34.8808452,-58.38983670000001,60.0,1000.0
PH,Capital Federal,Villa Urquiza,-34.5863657,-58.4760179,155.0,1096.774193548387
house,Bs.As. G.B.A. Zona Sur,Longchamps,-34.8777921,-58.4015838,300.0,1500.0
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,-34.4947901,-58.54945890000001,70.0,1500.0
house,Buenos Aires Costa Atlántica,Mar del Tuyú,-36.5774017,-56.6921085,35.0,957.1428571428572
house,Capital Federal,Paternal,-34.599095299999995,-58.4599898,160.0,1437.5
PH,Capital Federal,Paternal,-34.577168,-58.538654,200.0,650.0
apartment,Capital Federal,Villa Crespo,-34.577168,-58.538654,40.0,1737.5
house,Capital Federal,Paternal,-34.577168,-58.538654,230.0,913.0434782608696
